"Activity Period","Activity Period Start Date","Operating Airline","Operating Airline IATA Code","Published Airline","Published Airline IATA Code","GEO Summary","GEO Region","Activity Type Code","Price Category Code","Terminal","Boarding Area","Passenger Count","data_as_of","data_loaded_at"
"199907","1999/07/01","ATA Airlines","TZ","ATA Airlines","TZ","Domestic","US","Deplaned","Low Fare","Terminal 1","B","31,432","2026/09/20 01:00:17 PM","2026/09/22 03:04:37 PM"
"199907","1999/07/01","ATA Airlines","TZ","ATA Airlines","TZ","Domestic","US","Enplaned","Low Fare","Terminal 1","B","31,353","2026/09/20 01:00:17 PM","2026/09/22 03:04:37 PM"
"199907","1999/07/01","ATA Airlines","TZ","ATA Airlines","TZ","Domestic","US","Thru / Transit","Low Fare","Terminal 1","B","2,518","2026/09/20 01:00:17 PM","2026/09/22 03:04:37 PM"
"199907","1999/07/01","Aeroflot Russian International Airlines",,"Aeroflot Russian International Airlines",,"International","Europe","Deplaned","Other","Terminal 2","D","1,324","2026/09/20 01:00:17 PM","2026/09/22 03:04:37 PM"
"199907","1999/07/01","Aeroflot Russian International Airlines",,"Aeroflot Russian International Airlines",,"International","Europe","Enplaned","Other","Terminal 2","D","1,198","2026/09/20 01:00:17 PM","2026/09/22 03:04:37 PM"
"199907","1999/07/01","Air Canada","AC","Air Canada","AC","International","Canada","Deplaned","Other","Terminal 1","B","24,124","2026/09/20 01:00:17 PM","2026/09/22 03:04:37 PM"
"199907","1999/07/01","Air Canada","AC","Air Canada","AC","International","Canada","Enplaned","Other","Terminal 1","B","23,613","2026/09/20 01:00:17 PM","2026/09/22 03:04:37 PM"
"199907","1999/07/01","Air China","CA","Air China","CA","International","Asia","Deplaned","Other","Terminal 2","D","4,983","2026/09/20 01:00:17 PM","2026/09/22 03:04:37 PM"
"199907","1999/07/01","Air China","CA","Air China","CA","International","Asia","Enplaned","Other","Terminal 2","D","4,604","2026/09/20 01:00:17 PM","2026/09/22 03:04:37 PM"
"199907","1999/07/01","Air Europe","PE","Air Europe","PE","International","Europe","Deplaned","Other","Terminal 2","D","205","2026/09/20 01:00:17 PM","2026/09/22 03:04:37 PM"
"199907","1999/07/01","Air France","AF","Air France","AF","International","Europe","Deplaned","Other","Terminal 2","D","10,118","2026/09/20 01:00:17 PM","2026/09/22 03:04:37 PM"
"199907","1999/07/01","Air France","AF","Air France","AF","International","Europe","Enplaned","Other","Terminal 2","D","9,093","2026/09/20 01:00:17 PM","2026/09/22 03:04:37 PM"
"199907","1999/07/01","Alaska Airlines","AS","Alaska Airlines","AS","Domestic","US","Deplaned","Other","Terminal 2","D","41,433","2026/09/20 01:00:17 PM","2026/09/22 03:04:37 PM"
"199907","1999/07/01","Alaska Airlines","AS","Alaska Airlines","AS","Domestic","US","Enplaned","Other","Terminal 2","D","47,409","2026/09/20 01:00:17 PM","2026/09/22 03:04:37 PM"
"199907","1999/07/01","Alaska Airlines","AS","Alaska Airlines","AS","Domestic","US","Thru / Transit","Other","Terminal 2","D","4,135","2026/09/20 01:00:17 PM","2026/09/22 03:04:37 PM"
"199907","1999/07/01","Alaska Airlines","AS","Alaska Airlines","AS","International","Canada","Deplaned","Other","Terminal 2","D","9,595","2026/09/20 01:00:17 PM","2026/09/22 03:04:37 PM"
"199907","1999/07/01","Alaska Airlines","AS","Alaska Airlines","AS","International","Canada","Enplaned","Other","Terminal 2","D","10,082","2026/09/20 01:00:17 PM","2026/09/22 03:04:37 PM"
"199907","1999/07/01","Alaska Airlines","AS","Alaska Airlines","AS","International","Canada","Thru / Transit","Other","Terminal 2","D","277","2026/09/20 01:00:17 PM","2026/09/22 03:04:37 PM"
"199907","1999/07/01","Alaska Airlines","AS","Alaska Airlines","AS","International","Mexico","Deplaned","Other","Terminal 2","D","6,266","2026/09/20 01:00:17 PM","2026/09/22 03:04:37 PM"
"199907","1999/07/01","Alaska Airlines","AS","Alaska Airlines","AS","International","Mexico","Enplaned","Other","Terminal 2","D","6,765","2026/09/20 01:00:17 PM","2026/09/22 03:04:37 PM"
"199907","1999/07/01","Alaska Airlines","AS","Alaska Airlines","AS","International","Mexico","Thru / Transit","Other","Terminal 2","D","1,056","2026/09/20 01:00:17 PM","2026/09/22 03:04:37 PM"
"199907","1999/07/01","Alitalia Airlines","AZ","Alitalia Airlines","AZ","International","Europe","Deplaned","Other","Terminal 2","D","4,229","2026/09/20 01:00:17 PM","2026/09/22 03:04:37 PM"
